Number,Age,Sex,Family number,Auto isolation,Careful factor,Social distance factor,Death risk factor,Symptomatic,Severe illness,Urban area
0,44,Female,0,False,1.0301255981827906,1.1454128127184737,1.16,False,False,A
1,78,Male,0,False,0.8724234773948735,1.0011402363892676,2.8808163265306117,False,False,A
2,13,Male,0,False,1.0397440174478803,1.0106310327276364,1.0,False,False,A
3,33,Female,1,False,0.8276452968669521,1.0239930968534559,1.00734693877551,False,False,B
4,70,Male,1,False,0.9731008911931156,0.9489871601545055,2.3061224489795915,False,False,B
5,28,Female,1,True,0.8391587714548706,0.987345743235554,1.0,False,False,B
6,63,Female,2,False,0.9765391019493597,1.091272756321398,1.8889795918367347,False,False,A
7,69,Male,2,False,0.861143789544376,1.0228917258273547,2.2416326530612243,False,False,A
8,33,Female,3,False,1.08377856279711,0.9849186813714259,1.00734693877551,False,False,A
9,56,Female,3,False,0.9813270104376635,0.9664554420814919,1.5518367346938775,False,False,A
10,70,Female,3,False,1.0493419308772673,1.0286869618944352,2.3061224489795915,False,False,A
11,34,Female,4,False,1.0960078276500873,1.0265261776705426,1.0130612244897956,False,False,A
12,81,Male,4,False,1.0864346846551742,1.0756681548680123,3.1232653061224482,False,False,A
13,39,Female,4,False,0.964051900513211,1.000666737033555,1.0661224489795915,False,False,A
14,16,Male,5,False,0.8858356829520693,0.8731852579545945,1.0,False,False,B
15,29,Male,5,False,1.0454469662233374,1.0069403077959966,1.0,False,False,B
16,25,Female,6,False,0.9135092953362495,0.9637130085227079,1.0,False,False,B
17,32,Male,6,False,0.9321594440465205,0.8661640072082195,1.0032653061224488,False,False,B
18,51,Male,7,False,1.0167809838081578,1.0648978543955399,1.3599999999999999,False,False,A
19,39,Male,7,False,1.0637592156698978,0.9881022981800227,1.0661224489795915,False,False,A
20,48,Male,8,True,1.02705837372066,0.8665673785748989,1.2644897959183672,False,False,B
21,29,Male,8,False,1.0322635392821744,0.9621799035644576,1.0,False,False,B
22,40,Female,8,False,0.9715950932156192,1.0325800523221391,1.0816326530612244,False,False,B
23,57,Female,9,False,1.1082604345553995,1.0040532912228313,1.5951020408163266,False,False,B
24,16,Female,9,False,1.1930975797861871,0.9960921354609873,1.0,False,False,B
25,58,Male,10,True,1.0600265185663107,0.867156510763759,1.6399999999999997,False,False,B
26,47,Female,10,False,1.08347180701772,1.12789027671968,1.2359183673469387,False,False,B
27,29,Male,11,False,1.0381262034862258,0.986357355326032,1.0,False,False,B
28,46,Male,11,False,0.8421230957625488,0.9384072622322874,1.2089795918367343,False,False,B
29,61,Female,12,False,1.0987739253879358,1.1110028039893243,1.784489795918367,False,False,A
30,41,Male,12,False,0.9072575345670969,1.0895673411514797,1.0987755102040815,False,False,A
31,24,Male,13,False,0.9020343765557124,1.0864303291697492,1.0,False,False,A
32,37,Male,13,False,1.0834099066555027,0.9114847739022038,1.0399999999999998,False,False,A
33,34,Male,14,False,1.0818582293796806,1.1168365056214404,1.0130612244897956,False,False,B
34,51,Male,14,False,0.9581121787878064,1.066089002729246,1.3599999999999999,False,False,B
35,23,Female,14,False,1.0386929088402421,1.0825203202526366,1.0,False,False,B
36,26,Male,15,False,0.9622485507921381,0.9317884024285199,1.0,False,False,A
37,64,Male,15,False,1.0055933679350029,1.0067980843626967,1.9436734693877549,False,False,A
38,29,Female,15,False,1.0461851909852362,1.0584866818981338,1.0,False,False,A
39,21,Female,16,False,1.0408259560750035,1.164755453430779,1.0,False,False,A
40,21,Female,16,False,1.026462446854543,0.9677966895904404,1.0,False,False,A
41,83,Female,16,False,1.034917792459577,0.954123471269253,3.2930612244897954,False,False,A
42,25,Male,17,False,0.8986028401186563,0.9457652857617236,1.0,False,False,B
43,32,Female,17,False,0.9813260017432834,0.9964452795791551,1.0032653061224488,False,False,B
44,36,Female,17,False,1.058485923344823,1.1480863629836562,1.0293877551020405,False,False,B
45,67,Female,18,False,1.059370088609851,1.0299652352739175,2.117551020408163,False,False,A
46,69,Female,18,False,0.9591853753328748,1.0092392828152545,2.2416326530612243,False,False,A
47,50,Male,18,False,0.9764845081208104,0.9148768644239607,1.3265306122448979,False,False,A
48,51,Female,18,False,0.8560700889451921,1.0622221171847466,1.3599999999999999,False,False,A
49,71,Male,19,False,1.0917450373631516,1.0903476616780645,2.3722448979591833,False,False,A
