Number,Age,Sex,Family number,Auto isolation,Careful factor,Social distance factor,Death risk factor,Symptomatic,Severe illness,Urban area
0,62,Male,0,False,1.0096465409357847,1.1099817142414854,1.8359183673469386,False,False,A
1,28,Female,0,False,0.9345081907721908,1.1282775713388256,1.0,False,False,A
2,39,Male,1,False,0.9100061914495403,0.984690768089422,1.0661224489795915,False,False,A
3,17,Female,1,False,1.0234706332672177,0.98463330273157,1.0,False,False,A
4,40,Female,2,False,0.9693246448258945,1.082369579564925,1.0816326530612244,False,False,A
5,49,Female,2,False,1.1401748909354015,0.8938183310872543,1.29469387755102,False,False,A
6,72,Male,2,False,0.9346712721995711,1.0626278949926022,2.4399999999999995,False,False,A
7,18,Female,2,False,1.0534135398267308,0.9574770909056772,1.0,False,False,A
8,80,Male,2,False,1.1583402059236263,1.0191649512165348,3.0408163265306123,False,False,A
9,11,Female,3,False,1.154248291615722,1.0159827167805977,1.0,False,False,B
10,20,Female,3,False,0.9519477010928059,1.0624055018531557,1.0,False,False,B
11,46,Male,3,False,1.0253956769162451,1.0328086605290774,1.2089795918367343,False,False,B
12,13,Male,4,False,1.0206310900879736,1.0445639874297261,1.0,False,False,A
13,34,Female,4,False,0.9552074340650836,1.1037867199718487,1.0130612244897956,False,False,A
14,23,Male,4,False,0.9890939714297242,1.0654295027820377,1.0,False,False,A
15,55,Male,5,False,0.9381781490599477,1.1509247575602695,1.510204081632653,False,False,B
16,8,Female,5,False,0.8964918219677743,1.0335311202353838,1.0,False,False,B
17,64,Female,6,False,1.1650915317671104,1.0329265142725155,1.9436734693877549,False,False,A
18,39,Female,6,False,1.0488941638319789,1.1486822061966702,1.0661224489795915,False,False,A
19,62,Male,6,False,1.0373995687682456,0.9815852203253843,1.8359183673469386,False,False,A
20,35,Female,6,False,1.0678614632404568,1.0031340842606942,1.020408163265306,False,False,A
21,19,Female,7,False,0.9856801016634382,0.9761653171386794,1.0,False,False,A
22,27,Male,7,False,0.9435289732376425,0.9383489851734976,1.0,False,False,A
23,40,Male,8,False,0.9175055562174879,0.8239054431614748,1.0816326530612244,False,False,A
24,38,Female,8,False,0.941137091692717,0.8854645393889766,1.0522448979591836,False,False,A
25,61,Male,9,False,0.9980676525896073,0.9593668285333157,1.784489795918367,False,False,A
26,44,Male,9,False,0.8468878160012077,1.0045130458025973,1.16,False,False,A
27,83,Male,10,False,1.0499080442342161,1.1460729047575202,3.2930612244897954,False,False,B
28,31,Female,10,False,1.0515199792857657,0.9126258266309172,1.000816326530612,False,False,B
29,16,Female,11,False,0.8734253987088648,1.0671710813132673,1.0,False,False,A
30,60,Male,11,False,0.9944823404526865,0.9549991959597302,1.7346938775510203,False,False,A
31,26,Female,12,False,1.0306995362957359,1.0295027515091968,1.0,False,False,A
32,35,Male,12,False,1.0874034868528122,1.0074088744816312,1.020408163265306,False,False,A
33,24,Male,12,False,1.0382111894419326,0.9568605110806276,1.0,False,False,A
34,44,Male,12,False,1.1222170808085066,1.0391189291577068,1.16,False,False,A
35,80,Male,13,False,1.1164241805344577,0.9385962117131622,3.0408163265306123,False,False,B
36,49,Female,13,False,1.1224270386700617,0.9707066873755874,1.29469387755102,False,False,B
37,40,Female,14,False,0.9930509872895641,0.9397458633695481,1.0816326530612244,False,False,A
38,52,Male,14,False,0.8461209562896904,1.0977098748935388,1.3951020408163264,False,False,A
39,27,Male,15,False,0.9941475057083085,1.0262083025225808,1.0,False,False,B
40,10,Male,15,False,1.0477826183659689,0.8928915556921346,1.0,False,False,B
41,25,Female,15,False,0.9067649408582806,0.9720438320810866,1.0,False,False,B
42,46,Male,16,False,0.857395339314527,0.9581209868428929,1.2089795918367343,False,False,A
43,13,Male,16,False,0.9596306488312707,1.101396233250353,1.0,False,False,A
44,44,Female,16,False,0.9911015332218849,1.111702954383067,1.16,False,False,A
45,50,Male,17,False,0.925425653578027,1.047232387241176,1.3265306122448979,False,False,B
46,68,Female,17,False,1.0359770440386393,0.83047478042637,2.178775510204081,False,False,B
47,42,Female,18,False,0.9906519296843517,0.9429238156144892,1.117551020408163,False,False,B
48,57,Male,18,False,1.1536222188680694,0.9431139461973911,1.5951020408163266,False,False,B
49,24,Male,18,False,1.020052392494573,0.8662191140726984,1.0,False,False,B
50,75,Female,19,False,0.9190526765498437,0.9638855564422646,2.6530612244897958,False,False,A
51,76,Female,19,False,0.9439996427966499,1.0687376873115222,2.7273469387755105,False,False,A
52,26,Male,19,False,0.9736247567344807,0.9994945827066912,1.0,False,False,A
53,31,Male,20,False,1.1777113152668919,0.9821388929308356,1.000816326530612,False,False,A
54,25,Male,20,False,1.0211016121391467,1.0536357726504137,1.0,False,False,A
55,77,Male,20,False,1.1071773671830691,1.1202160770186658,2.8032653061224484,False,False,A
56,23,Female,21,False,1.1062035956440193,1.0721726517986347,1.0,False,False,B
57,57,Female,21,False,1.0046746102657855,1.0405151337297507,1.5951020408163266,False,False,B
58,26,Male,22,False,1.0236419203641995,1.0105873355536594,1.0,False,False,A
59,7,Male,22,False,0.8489599626568465,1.0422091871746604,1.0,False,False,A
60,40,Male,22,False,1.0696976963535358,0.8781830375329024,1.0816326530612244,False,False,A
61,33,Male,23,False,0.9883869638658143,0.9562526269853103,1.00734693877551,False,False,B
62,39,Male,23,False,0.9787432992614526,1.1464611301608993,1.0661224489795915,False,False,B
63,37,Female,24,False,1.0858462959639947,0.9604762817841819,1.0399999999999998,False,False,A
64,67,Female,25,False,0.9358974378416242,1.0005734011224625,2.117551020408163,False,False,A
65,62,Female,25,False,1.0521551686005637,1.000160979519619,1.8359183673469386,False,False,A
66,16,Male,26,False,1.0746026559058839,1.0282094529736716,1.0,False,False,A
67,27,Male,26,False,1.1192188132257304,1.0544450317435796,1.0,False,False,A
68,53,Female,27,False,1.0325819742887075,0.9921597098013786,1.4318367346938774,False,False,A
69,72,Female,27,False,1.0980059786632055,0.9483747943603054,2.4399999999999995,False,False,A
70,75,Female,28,False,0.962350657797345,0.8769970918349318,2.6530612244897958,False,False,A
71,38,Female,28,False,0.9082383199128602,0.9525591548813499,1.0522448979591836,False,False,A
72,70,Male,29,False,0.8366309489761887,0.9823594859608106,2.3061224489795915,False,False,B
73,31,Female,29,False,1.055801900296456,1.051669764164578,1.000816326530612,False,False,B
74,36,Male,29,False,1.1352793658586975,0.9758100914011314,1.0293877551020405,False,False,B
75,21,Female,30,False,0.9985239818596887,0.9135467788036503,1.0,False,False,B
76,86,Female,30,False,0.9765903260870294,0.9150131556091393,3.5599999999999996,False,False,B
77,50,Female,31,False,1.0779078531668964,0.9653475487926331,1.3265306122448979,False,False,A
78,9,Female,31,False,1.053167277686996,1.0302329312590282,1.0,False,False,A
79,23,Male,31,False,1.023018344580271,1.0157055784769855,1.0,False,False,A
80,26,Female,31,False,0.9993200083947968,0.9670507401081306,1.0,False,False,A
81,27,Female,32,False,1.0971783944356674,0.897912471721476,1.0,False,False,A
