Number,Age,Sex,Family number,Careful factor,Social distance factor,Death risk factor,Symptomatic,Severe illness,Urban area
0,47,Male,0,0.939910180067959,0.938316860093982,1.176938775510204,False,False,A
1,48,Female,0,0.8300270241835028,1.0222483901830024,1.1983673469387757,False,False,A
2,40,Male,0,1.0835752452760172,1.0471060078752688,1.0612244897959184,True,True,A
3,31,Female,1,0.9732855915404348,1.1539807671271294,1.000612244897959,True,False,A
4,42,Male,1,0.9911883954520265,0.8998453576279044,1.0881632653061224,False,False,A
5,47,Male,2,1.0308366575200718,0.8159779849692517,1.176938775510204,False,False,A
6,48,Female,2,1.0954214497849801,0.9805422516821634,1.1983673469387757,False,False,A
7,69,Female,3,1.1342760686207658,0.880309173916942,1.9312244897959183,False,False,A
8,11,Female,3,0.9194096736431558,1.0823805993028688,1.0,False,False,A
9,42,Male,4,1.0642680634780355,1.0005435223512527,1.0881632653061224,False,False,B
10,56,Female,5,1.0485416115984956,1.0093282989358392,1.4138775510204082,True,True,A
11,15,Male,5,1.0605532018404555,1.0514850728602283,1.0,False,False,A
12,23,Male,6,0.953603477121039,0.9215887566130007,1.0,False,False,A
13,44,Female,6,0.9240254337145369,0.9248848610913029,1.12,False,False,A
14,94,Female,6,1.0873331976854412,1.0459994201492693,3.507755102040816,True,True,A
15,27,Male,7,1.0400091736191024,1.166728498053902,1.0,False,False,B
16,76,Female,7,0.9649393565845211,0.9318574771005725,2.2955102040816326,False,False,B
17,48,Male,7,1.0571098692233591,1.0457745153611444,1.1983673469387757,False,False,B
18,51,Male,8,1.0566642465552594,1.0513190486157806,1.27,False,False,A
19,77,Male,8,0.9185144550978813,1.1104229777802015,2.352448979591837,True,False,A
20,22,Female,9,1.0314778402632279,1.1679484240346132,1.0,False,False,A
21,52,Female,9,0.9074228361440585,1.0170940115836586,1.296326530612245,False,False,A
22,39,Female,9,0.9119360156617843,1.0754207599519372,1.049591836734694,True,True,A
23,46,Female,10,1.0913534416828763,0.971552864543897,1.1567346938775511,False,False,B
24,33,Female,10,0.8625210424703249,0.9854436268472698,1.0055102040816326,False,False,B
25,58,Male,11,1.1343133963633965,1.00764310160526,1.48,False,False,A
26,40,Male,11,1.0222558887766318,0.9527883760454319,1.0612244897959184,False,False,A
27,7,Male,11,0.8265745828071186,0.8474300280487863,1.0,False,False,A
28,40,Female,11,1.1619375492659687,0.9754406928407596,1.0612244897959184,False,False,A
29,64,Female,12,0.8872196009518172,1.0371772193370052,1.7077551020408164,False,False,A
30,30,Male,12,1.0844059846662555,0.9995094601487283,1.0,False,False,A
31,41,Female,13,0.9310946951137157,1.0380703699194538,1.0740816326530613,False,False,A
32,65,Male,13,1.086064536737786,1.0184185945055166,1.75,False,False,A
33,77,Male,14,0.9101231994749264,1.1246158982230061,2.352448979591837,False,False,B
34,23,Male,14,1.0015524475125495,0.9123689502949289,1.0,True,False,B
35,15,Female,14,1.040240265294292,0.9146546800112847,1.0,True,True,B
36,30,Male,14,1.0019196877985788,0.989703141048383,1.0,True,False,B
37,74,Male,15,0.9438858114820012,0.9666484943038369,2.1853061224489796,False,False,B
38,28,Male,15,0.9777237609457172,0.9949640596242862,1.0,False,False,B
39,53,Female,15,1.0389481437802535,0.9735273847646918,1.3238775510204082,False,False,B
40,58,Male,16,0.8859479953316389,0.9097604670539969,1.48,False,False,B
41,32,Male,16,0.8992992128658426,1.0063000347942392,1.0024489795918368,False,False,B
42,81,Male,16,1.1921941184356308,0.9291560897890564,2.592448979591837,False,False,B
43,10,Male,16,1.091931647037248,0.9459106273262861,1.0,False,False,B
44,52,Female,17,0.8726565661653566,1.1648553726501094,1.296326530612245,False,False,A
45,75,Male,17,0.9443010260960969,0.9367268015430925,2.239795918367347,True,True,A
46,54,Male,18,1.0486314192087547,1.0224033354804483,1.3526530612244898,True,True,B
47,47,Male,18,0.896844227134539,1.021561198216978,1.176938775510204,False,False,B
48,61,Male,19,1.1506795744967488,0.9156258862466703,1.5883673469387753,False,False,A
