Number,Age,Sex,Family number,Auto isolation,Careful factor,Social distance factor,Death risk factor,Symptomatic,Severe illness,Urban area
0,13,Female,0,True,0.9792362120396956,0.9267589707889604,1.0,False,False,B
1,81,Female,1,False,0.9419265681715123,0.9965032321243248,3.1232653061224482,False,False,B
2,55,Female,1,True,0.9247228109482069,0.9135446199546553,1.510204081632653,False,False,B
3,54,Female,1,True,0.8860922002293292,1.1824059097763506,1.470204081632653,False,False,B
4,49,Male,2,True,0.9704359854576622,1.026335233194093,1.29469387755102,False,False,A
5,41,Male,2,True,0.9927672502402936,1.0554503170408176,1.0987755102040815,False,False,A
6,39,Female,3,True,1.0711153243591864,1.0074471023676215,1.0661224489795915,False,False,A
7,20,Male,4,False,1.0302802404548186,1.0188122725963256,1.0,False,False,B
8,58,Female,5,True,1.0872682725057372,0.9077841746831408,1.6399999999999997,False,False,A
9,28,Male,5,True,1.0659418066754704,1.176462416978544,1.0,False,False,A
10,64,Male,6,False,1.037454327697936,1.0518415738763893,1.9436734693877549,False,False,B
11,21,Male,6,True,1.0420264635598993,0.8927572778830685,1.0,False,False,B
12,57,Male,6,False,1.163880631321329,0.8600539623531392,1.5951020408163266,False,False,B
13,34,Male,7,True,1.0504067916025592,1.0508351485680638,1.0130612244897956,False,False,B
14,87,Female,7,True,1.0009059747906621,0.9987441151295988,3.652244897959183,False,False,B
15,21,Female,7,False,1.030405073733177,1.0167713599863615,1.0,False,False,B
16,48,Male,8,True,0.9903922419537662,1.0955916222154645,1.2644897959183672,False,False,A
17,48,Female,8,True,0.8644665387334065,0.9733572225224089,1.2644897959183672,False,False,A
18,40,Male,8,True,1.1770448472275412,1.0584103403454042,1.0816326530612244,False,False,A
19,42,Male,9,False,0.9976263077126917,1.104632359731836,1.117551020408163,False,False,B
20,67,Female,10,False,0.9603998337938627,1.0060035010185662,2.117551020408163,False,False,B
21,65,Female,10,False,1.113348791716097,0.9542289481256672,1.9999999999999996,False,False,B
22,22,Male,11,True,0.8111082816718648,1.0619642456864231,1.0,False,False,A
23,30,Female,11,True,1.1335953063883837,0.9549307482480571,1.0,False,False,A
24,21,Female,11,True,1.1436665354370767,0.9555362872611962,1.0,False,False,A
25,41,Male,11,True,1.1366912062143566,1.0060880157987382,1.0987755102040815,False,False,A
26,21,Female,12,True,0.9573328233004184,1.0119860885602154,1.0,False,False,A
27,30,Female,12,True,0.90869614598125,0.9826105280753827,1.0,False,False,A
28,9,Female,12,True,0.9609249273163674,0.9175620340003144,1.0,False,False,A
29,65,Male,12,True,0.9717071716586909,1.0829124603338451,1.9999999999999996,False,False,A
30,57,Male,13,True,1.0773985053530104,0.997681977504401,1.5951020408163266,False,False,A
31,68,Male,13,True,1.0861670929151477,1.107711629026245,2.178775510204081,False,False,A
32,31,Female,13,True,1.0356620511047399,0.9302491318156014,1.000816326530612,False,False,A
33,87,Male,13,True,0.8676752290093918,1.0059620119715766,3.652244897959183,False,False,A
34,10,Female,14,True,0.9495079091944285,0.9133112533639965,1.0,False,False,A
35,39,Female,15,False,0.9546338949877092,1.1161194219881754,1.0661224489795915,False,False,B
36,29,Female,15,True,1.0012502217284815,1.0006676603288207,1.0,False,False,B
37,58,Male,16,True,1.0888199123079245,1.0803839408718114,1.6399999999999997,False,False,A
38,34,Male,16,True,1.0946963449776015,1.0285740246212194,1.0130612244897956,False,False,A
39,31,Male,17,False,0.8810008548068728,0.9045432485085769,1.000816326530612,False,False,B
40,88,Male,17,True,0.9172470043408173,1.0523548107428848,3.746122448979592,False,False,B
41,30,Male,17,True,1.1024511398537475,1.1257661778837988,1.0,False,False,B
42,8,Male,18,True,1.066363354567629,1.0430188817429875,1.0,False,False,B
43,76,Male,18,False,1.0645144497553796,0.9170741386574994,2.7273469387755105,False,False,B
44,40,Female,19,False,1.0270454795084278,0.8837132701061591,1.0816326530612244,False,False,B
45,44,Male,20,False,1.083794653149858,1.064479319843465,1.16,False,False,B
46,22,Female,20,True,1.0993228345886639,0.8529614985695858,1.0,False,False,B
47,82,Male,21,True,1.1083103478514489,0.9390631535983208,3.20734693877551,False,False,A
48,31,Male,21,True,0.9077441756968608,1.0306838815822752,1.000816326530612,False,False,A
49,30,Male,21,True,1.0183902047772266,0.9631948010870947,1.0,False,False,A
50,33,Male,22,True,0.9299630387990923,0.952350192976991,1.00734693877551,False,False,B
51,33,Female,23,True,1.017724372985868,1.0657141832774126,1.00734693877551,False,False,A
52,16,Male,23,True,1.0164966443774563,1.095183332746514,1.0,False,False,A
53,55,Female,23,True,0.9069745688386148,0.925273823890959,1.510204081632653,False,False,A
54,62,Male,24,False,0.937258902282822,0.9680588374992736,1.8359183673469386,False,False,B
55,71,Male,24,True,0.8299837071669316,0.9450613730070857,2.3722448979591833,False,False,B
56,43,Male,24,False,0.9026515187693471,1.1122605845132352,1.137959183673469,False,False,B
57,45,Female,25,True,0.956040290959421,0.9392752233963957,1.1836734693877549,False,False,A
58,8,Male,25,True,1.0242908836875575,1.0346335982727464,1.0,False,False,A
59,17,Female,25,True,1.1076158838584884,0.9929338359627595,1.0,False,False,A
60,41,Female,26,True,1.077626425142986,0.8725866359052585,1.0987755102040815,False,False,B
61,29,Male,26,False,1.0987654053923563,1.1207896828366088,1.0,False,False,B
62,77,Female,26,False,1.1177053058289803,0.8948528837451795,2.8032653061224484,False,False,B
63,79,Female,26,True,0.9541181919207807,0.8972497912385383,2.96,False,False,B
64,93,Female,27,True,0.9357966292911492,0.9438925245333722,4.239999999999999,False,False,A
65,40,Female,27,True,1.1302701394265235,0.927650591602228,1.0816326530612244,False,False,A
66,52,Male,28,True,1.112726260964293,0.8910341550343991,1.3951020408163264,False,False,A
67,13,Female,28,True,1.0287505175658884,0.9927868489501156,1.0,False,False,A
68,40,Male,28,True,1.1455316205933117,0.9284671282583541,1.0816326530612244,False,False,A
69,32,Female,29,True,0.8914357609058935,1.1221232030664867,1.0032653061224488,False,False,A
70,40,Male,29,True,0.9004742992238005,0.8764495708419227,1.0816326530612244,False,False,A
71,45,Male,29,True,1.1067398010822536,0.9641503850878219,1.1836734693877549,False,False,A
72,33,Female,30,True,1.0042010707627445,1.0894854820547397,1.00734693877551,False,False,A
73,33,Female,31,False,1.1027587637662581,0.9972273911596413,1.00734693877551,False,False,B
74,58,Male,31,False,1.048480622391472,1.1446875353150472,1.6399999999999997,False,False,B
75,9,Male,31,True,0.9444473149167939,0.99479601796066,1.0,False,False,B
76,32,Female,32,True,1.0915522273730902,1.0250846620022531,1.0032653061224488,False,False,B
77,25,Male,32,False,1.0495311866512105,0.8481299701599979,1.0,False,False,B
78,35,Male,32,True,0.9407888685432064,0.9869702152044165,1.020408163265306,False,False,B
79,30,Female,33,True,0.8470519781866047,0.9862814842734634,1.0,False,False,A
80,21,Female,33,True,1.074570526346927,0.9408612898130231,1.0,False,False,A
81,49,Male,33,True,0.9939024689926192,1.04570655042413,1.29469387755102,False,False,A
82,34,Female,34,True,1.0196007213294709,0.9647931483211375,1.0130612244897956,False,False,B
83,56,Female,34,True,0.9833144301100136,1.0117903495176492,1.5518367346938775,False,False,B
84,70,Female,35,True,0.9344933900449129,0.9222238030679409,2.3061224489795915,False,False,A
