Number,Age,Sex,Family number,Auto isolation,Careful factor,Social distance factor,Death risk factor,Symptomatic,Severe illness,Urban area
0,88,Male,0,False,1.0067158246525456,1.0449636495383954,3.746122448979592,False,False,A
1,38,Female,0,False,1.0494978280209304,1.087923007131411,1.0522448979591836,False,False,A
2,59,Female,1,False,1.0665397849543667,1.1344997456700543,1.6865306122448978,False,False,A
3,10,Male,1,False,0.9522166610317143,1.04766170675042,1.0,False,False,A
4,52,Female,2,False,0.9992769180170571,1.0254200747538031,1.3951020408163264,False,False,B
5,24,Female,2,False,0.9716034454395565,0.9616424349350935,1.0,False,False,B
6,12,Female,3,False,0.8729084282477857,0.9344007319702428,1.0,False,False,B
7,45,Female,3,False,0.9262688407276475,1.0978216565601377,1.1836734693877549,False,False,B
8,82,Male,4,False,1.1629715761917323,1.011793023663689,3.20734693877551,False,False,A
9,69,Male,4,False,1.16537377215003,0.9386864755627075,2.2416326530612243,False,False,A
10,43,Female,4,False,1.135051743298686,0.9450888300294891,1.137959183673469,False,False,A
11,38,Male,5,False,1.1312699690715142,1.0304799486111111,1.0522448979591836,False,False,B
12,45,Male,6,False,1.0678284357906418,1.0214619452117704,1.1836734693877549,False,False,B
13,8,Male,6,False,0.8798057695679036,0.917649700073455,1.0,False,False,B
14,25,Female,6,False,0.8554498841420219,0.898548129067615,1.0,False,False,B
15,27,Female,7,False,1.0709384518858498,0.8863353757515862,1.0,False,False,A
16,28,Female,8,False,1.0606478294916457,1.1192320978106234,1.0,False,False,A
17,14,Male,8,False,1.0146799697762137,1.1710712101387661,1.0,False,False,A
18,6,Male,8,False,1.060901777477107,1.1060259832632338,1.0,False,False,A
19,61,Female,9,False,0.9296057521262336,1.000615599462086,1.784489795918367,False,False,A
20,26,Male,10,False,1.0545192156762793,0.9927571926719787,1.0,False,False,B
21,19,Female,10,False,1.099877642884147,0.9177467058673358,1.0,False,False,B
22,66,Female,10,False,1.024409992438966,1.088434986541192,2.057959183673469,False,False,B
23,55,Male,11,False,0.8329707545479805,0.8329033511974925,1.510204081632653,False,False,A
24,49,Female,12,False,1.1253084368603459,0.8091146320086251,1.29469387755102,False,False,B
25,59,Male,12,False,0.9734264773983593,1.01195715926274,1.6865306122448978,False,False,B
26,9,Female,13,False,0.9751470937555657,0.9294712468645536,1.0,False,False,A
27,34,Male,13,False,0.8416542388112382,1.1764945001881835,1.0130612244897956,False,False,A
28,32,Female,13,False,0.9763590669556302,0.9112923644892438,1.0032653061224488,False,False,A
29,39,Male,14,False,1.114097322048951,0.9644516546320069,1.0661224489795915,False,False,A
30,74,Female,14,False,0.9159617258174115,1.072385069211447,2.580408163265306,False,False,A
31,10,Male,15,False,0.8812348611950774,1.0046805935074732,1.0,False,False,A
32,55,Female,15,False,0.9061511862411453,0.9212702557304729,1.510204081632653,False,False,A
33,52,Female,15,False,0.996175350717435,0.9273830565485729,1.3951020408163264,False,False,A
34,40,Male,16,False,1.0546720872220816,0.8414167376312409,1.0816326530612244,False,False,A
35,7,Male,16,False,0.9042192340178714,0.9569987173551352,1.0,False,False,A
36,41,Male,17,False,0.9917680368959247,1.148823966860332,1.0987755102040815,False,False,B
37,23,Female,17,False,1.0149327826518104,0.9345813846658955,1.0,False,False,B
38,24,Male,18,False,1.0262969799285986,1.1319144563465586,1.0,False,False,B
39,36,Female,19,False,0.9340745896206313,0.8487351344425792,1.0293877551020405,False,False,B
40,62,Male,19,False,0.9968008012843567,0.974907880492905,1.8359183673469386,False,False,B
41,30,Male,20,False,1.1210189972344797,1.0284246649052688,1.0,False,False,A
42,10,Female,20,False,1.1558294587864615,1.0732568039430577,1.0,False,False,A
43,32,Male,21,False,1.1563510185866137,1.0962348371555375,1.0032653061224488,False,False,A
44,14,Female,21,False,0.9644783367339567,0.9987181650094077,1.0,False,False,A
45,65,Female,21,False,0.9723278905554322,0.9486830260390834,1.9999999999999996,False,False,A
46,41,Female,21,False,1.058020351145063,1.0089690922757206,1.0987755102040815,False,False,A
47,33,Female,22,False,1.073470158739687,0.9255879293532231,1.00734693877551,False,False,A
48,25,Female,22,False,1.0823948199323874,0.9830994343650087,1.0,False,False,A
49,66,Male,22,False,1.1642218903545847,1.0532204653987685,2.057959183673469,False,False,A
50,93,Female,22,False,1.1013019639341939,0.9881818197972011,4.239999999999999,False,False,A
51,22,Male,23,False,1.1302587038814371,0.9787073278484067,1.0,False,False,B
52,71,Male,23,False,0.9191086520965256,1.155218371237492,2.3722448979591833,False,False,B
53,37,Male,23,False,0.8428681273997987,1.0369501371529015,1.0399999999999998,False,False,B
54,10,Male,24,False,1.0422485305405491,1.133803406147899,1.0,False,False,A
55,92,Female,24,False,0.8813315528395659,0.8348338682995373,4.137959183673469,False,False,A
56,48,Female,24,False,1.011322798332097,0.8963697507562385,1.2644897959183672,False,False,A
57,52,Female,25,False,0.8927319508316635,1.026266547901579,1.3951020408163264,False,False,B
58,6,Male,25,False,0.9934961567214292,1.0734514954256165,1.0,False,False,B
59,76,Male,26,False,0.9335806789587352,1.0297042578881985,2.7273469387755105,False,False,A
60,57,Male,26,False,1.0808619875935181,1.0354869108827047,1.5951020408163266,False,False,A
61,79,Female,26,False,0.8400632789068285,1.1010744511243584,2.96,False,False,A
62,57,Male,27,False,1.0857128627705446,1.0845631043361486,1.5951020408163266,False,False,A
63,20,Male,27,False,1.0575305294389408,1.0035273685213415,1.0,False,False,A
64,31,Female,27,False,0.935238048588239,0.9819906969935395,1.000816326530612,False,False,A
65,49,Male,28,False,0.9193349045992809,0.9819066854288638,1.29469387755102,False,False,A
66,34,Male,28,False,0.9993251155324688,0.9013968298946479,1.0130612244897956,False,False,A
67,26,Male,28,False,0.8591849944103173,0.9618318064433495,1.0,False,False,A
68,64,Female,28,False,0.9419479817886612,0.996282855200855,1.9436734693877549,False,False,A
69,6,Female,29,False,1.0505475499269228,1.0538793076411437,1.0,False,False,A
70,21,Female,29,False,0.9840917144851942,1.1468863105847533,1.0,False,False,A
71,23,Male,29,False,1.0426294725579897,0.9751664824178912,1.0,False,False,A
72,14,Female,29,False,1.0436292822871058,1.1749418103347293,1.0,False,False,A
73,45,Female,30,False,1.1545213661749225,1.0274208496782378,1.1836734693877549,False,False,A
74,75,Male,30,False,1.014505389957141,1.0369659051363542,2.6530612244897958,False,False,A
75,29,Male,31,False,1.0211834024972215,1.0071593324814736,1.0,False,False,A
76,40,Female,31,False,0.8486837449177623,0.9626874582055368,1.0816326530612244,False,False,A
77,26,Female,32,False,1.0098156920277659,1.1665404330358276,1.0,False,False,A
78,47,Male,33,False,0.9475271297366367,0.8853194861996866,1.2359183673469387,False,False,A
79,7,Male,33,False,0.8772203948278028,1.0237179146606104,1.0,False,False,A
80,40,Male,33,False,1.003903623180981,0.924672854576639,1.0816326530612244,False,False,A
81,41,Male,33,False,0.9686038731080929,0.9075875290359594,1.0987755102040815,False,False,A
82,76,Female,34,False,1.0622789333874314,0.8363854361194767,2.7273469387755105,False,False,B
83,17,Female,34,False,1.1317132342488416,0.9548796311374372,1.0,False,False,B
84,34,Male,34,False,1.0530757105142563,1.0555440430637864,1.0130612244897956,False,False,B
85,23,Male,34,False,0.9113597990697228,1.0553039137137499,1.0,False,False,B
86,23,Male,34,False,1.0580728225511926,1.0797781604114698,1.0,False,False,B
87,37,Female,35,False,0.9451748027915343,0.9436058042091092,1.0399999999999998,False,False,B
88,30,Female,35,False,1.1086492576341247,0.9530184941043888,1.0,False,False,B
89,79,Female,35,False,0.9659397987885172,0.9204918448584789,2.96,False,False,B
90,64,Female,36,False,0.9301795006620246,1.034143031706674,1.9436734693877549,False,False,A
91,16,Male,37,False,0.8878103440768911,1.0394815366685823,1.0,False,False,A
92,42,Female,37,False,0.8822700255820126,1.1101441248210437,1.117551020408163,False,False,A
93,56,Female,38,False,0.973600159231168,1.0042077407245238,1.5518367346938775,False,False,A
94,35,Female,38,False,0.9515830935789324,0.8548638488026101,1.020408163265306,False,False,A
95,34,Female,38,False,1.1554248390300814,0.8735378903200768,1.0130612244897956,False,False,A
96,23,Male,39,False,1.133088203234402,1.0958271547103964,1.0,False,False,B
97,11,Male,39,False,0.9936539008355613,1.1260893244692347,1.0,False,False,B
